T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 2 | 10552.67 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 3 | 10556.28 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 4 | 10553.9 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 5 | 9986.83 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 6 | 11061.5 | Compounding Amt :- 4.57
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 7 | 11061.37 | Compounding Amt :- 5.76
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 6.8544 | Counter :- 8 | 11055.1 | Compounding Amt :- 5.76
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 9 | 11056.46 | Compounding Amt :- 12.6144
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 10 | 11055.14 | Compounding Amt :- 13.8044
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 16.427236 | Counter :- 11 | 11040.84 | Compounding Amt :- 13.8044
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 12 | 11069.54 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 13 | 11062.2 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 14 | 11072.67 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 15 | 10895.43 | Compounding Amt :- 4.57
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 5.4383 | Counter :- 16 | 10890.92 | Compounding Amt :- 4.57
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 17 | 11234.11 | Compounding Amt :- 10.0083
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 11.909877 | Counter :- 18 | 11214.6 | Compounding Amt :- 10.0083
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 19 | 11195.77 | Compounding Amt :- 21.918177
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 26.08263063 | Counter :- 20 | 11203.4 | Compounding Amt :- 21.918177
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 21 | 11199.66 | Compounding Amt :- 48.00080763
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 22 | 11214.5 | Compounding Amt :- 49.190807629999995
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 58.537061079699996 | Counter :- 23 | 11153.94 | Compounding Amt :- 49.190807629999995
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 24 | 11203.47 | Compounding Amt :- 107.72786870969999
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 128.19616376454297 | Counter :- 25 | 11077.4 | Compounding Amt :- 107.72786870969999
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 26 | 11045.25 | Compounding Amt :- 235.92403247424295
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 280.74959864434913 | Counter :- 27 | 10765.57 | Compounding Amt :- 235.92403247424295
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 28 | 11293.06 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 29 | 11348.1 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 30 | 11356.01 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 31 | 11353.51 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 4.0222 | Counter :- 32 | 11337.28 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 33 | 11340.13 | Compounding Amt :- 7.4022
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 34 | 11341.06 | Compounding Amt :- 8.5922
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 35 | 11334.53 | Compounding Amt :- 9.7822
